iter	Passed	Remaining
535	85804	234362
536	85968	234211
537	86135	234070
538	86290	233897
539	86450	233737
540	86601	233551
541	86758	233382
542	86913	233209
543	87068	233034
544	87220	232855
545	87374	232679
546	87526	232497
547	87682	232327
548	87834	232145
549	87989	231971
550	88140	231789
551	88293	231610
552	88445	231430
553	88602	231263
554	88761	231099
555	88925	230949
556	89080	230778
557	89235	230603
558	89386	230422
559	89547	230264
560	89698	230083
561	89850	229903
562	90007	229735
563	90167	229574
564	90324	229407
565	90482	229243
566	90637	229070
567	90790	228893
568	90944	228719
569	91099	228548
570	91249	228363
571	91407	228199
572	91565	228033
573	91720	227862
574	91874	227688
575	92028	227515
576	92183	227344
577	92344	227187
578	92500	227018
579	92650	226834
580	92806	226665
581	92994	226574
582	93156	226419
583	93333	226302
584	93495	226147
585	93657	225992
586	93820	225839
587	93981	225683
588	94151	225547
589	94315	225398
590	94472	225230
591	94626	225058
592	94799	224929
593	94956	224763
594	95127	224628
595	95284	224461
596	95442	224297
597	95595	224121
598	95749	223947
599	95901	223769
600	96057	223602
601	96214	223434
602	96364	223251
603	96516	223075
604	96670	222900
605	96826	222732
606	96977	222552
607	97132	222381
608	97285	222206
609	97436	222027
610	97593	221861
611	97751	221698
612	97911	221538
613	98077	221393
614	98231	221220
615	98387	221053
616	98542	220881
617	98700	220719
618	98853	220542
619	99007	220372
620	99162	220200
621	99317	220032
622	99473	219863
623	99624	219684
624	99772	219500
625	99932	219340
626	100091	219179
627	100247	219011
628	100407	218853
629	100565	218690
630	100718	218516
631	100881	218364
632	101053	218231
633	101206	218056
634	101365	217895
635	101520	217726
636	101680	217568
637	101846	217421
638	102024	217301
639	102197	217169
640	102356	217007
641	102513	216843
642	102666	216669
643	102835	216528
644	103001	216382
645	103162	216225
646	103317	216057
647	103475	215893
648	103656	215777
649	103787	215559
650	103908	215318
651	104042	215105
652	104174	214888
653	104309	214680
654	104437	214455
655	104570	214242
656	104697	214015
657	104828	213800
658	104954	213572
659	105079	213343
660	105206	213119
661	105332	212893
662	105455	212660
663	105579	212431
664	105708	212212
665	105861	212040
666	106035	211911
667	106177	211719
668	106317	211522
669	106440	211292
670	106557	211050
671	106675	210810
672	106801	210587
673	106928	210366
674	107044	210123
675	107176	209914
676	107294	209676
677	107412	209438
678	107532	209206
679	107655	208978
680	107776	208747
681	107892	208508
682	108012	208276
683	108145	208068
684	108266	207840
685	108394	207624
686	108508	207383
687	108626	207148
688	108743	206912
689	108859	206675
690	108975	206437
691	109098	206214
692	109221	205991
693	109342	205764
694	109465	205543
695	109587	205318
696	109708	205093
697	109836	204882
698	109953	204648
699	110072	204420
700	110194	204197
701	110316	203974
702	110438	203752
703	110561	203534
704	110683	203312
705	110799	203080
706	110921	202858
707	111043	202638
708	111166	202420
709	111293	202209
710	111419	201996
711	111537	201770
712	111652	201538
713	111765	201303
714	111883	201076
715	112011	200869
716	112134	200653
717	112255	200434
718	112378	200218
719	112503	200006
720	112627	199792
721	112754	199584
722	112881	199376
723	113000	199155
724	113120	198935
725	113263	198757
726	113402	198571
727	113528	198362
728	113649	198145
729	113768	197925
730	113887	197706
731	114013	197498
732	114140	197293
733	114263	197081
734	114388	196872
735	114530	196693
736	114718	196593
737	114845	196388
738	114968	196176
739	115096	195974
740	115239	195798
741	115376	195610
742	115512	195422
743	115645	195229
744	115777	195033
745	115914	194848
746	116048	194656
747	116167	194439
748	116283	194219
749	116412	194020
750	116541	193821
751	116667	193618
752	116798	193422
753	116924	193220
754	117044	193007
755	117165	192796
756	117292	192595
757	117420	192396
758	117544	192190
759	117664	191979
760	117782	191763
761	117898	191545
762	118017	191334
763	118144	191133
764	118263	190922
765	118379	190705
766	118497	190491
767	118618	190283
768	118740	190077
769	118865	189876
